state,access_to_food_pct_tg,access_to_health_services_pct_tg,access_to_social_security_pct_tg,educational_lag_pct_tg,housing_pct_tg,income_pct_tg,other_pct_tg,social_cohesion_pct_tg
Aguascalientes,3.1413612565445024,14.659685863874344,32.460732984293195,4.18848167539267,6.282722513089005,21.98952879581152,15.18324607329843,2.094240837696335
Baja California,3.669724770642202,20.18348623853211,19.26605504587156,3.669724770642202,4.587155963302752,26.605504587155966,19.26605504587156,2.752293577981652
Baja California Sur,6.896551724137931,20.689655172413794,20.689655172413794,10.344827586206897,0.0,27.58620689655172,10.344827586206897,3.4482758620689653
Campeche,3.125,20.833333333333336,34.375,6.25,3.125,27.083333333333332,4.166666666666666,1.0416666666666663
Chiapas,5.078125,23.046875,14.453125,11.71875,9.375,26.5625,2.34375,7.421875
Chihuahua,5.531914893617021,20.425531914893615,19.574468085106385,15.74468085106383,9.787234042553193,11.914893617021278,14.468085106382976,2.553191489361702
Ciudad de México,3.1428571428571432,31.142857142857142,14.571428571428571,4.571428571428571,5.142857142857142,32.57142857142858,6.857142857142858,2.0
Coahuila,2.4861878453038675,10.220994475138122,32.87292817679558,1.6574585635359116,3.0386740331491713,36.46408839779006,9.668508287292818,3.591160220994475
Colima,4.545454545454546,37.66233766233766,13.636363636363637,4.545454545454546,1.948051948051948,28.57142857142857,6.493506493506493,2.5974025974025974
Durango,0.4926108374384236,24.63054187192118,22.660098522167488,7.389162561576355,2.955665024630542,32.51231527093596,6.403940886699508,2.955665024630542
Estado de México,4.878048780487805,14.634146341463412,21.951219512195124,2.4390243902439024,4.0650406504065035,38.21138211382114,11.38211382113821,2.4390243902439024
Guanajuato,3.296703296703297,22.344322344322347,23.44322344322344,8.424908424908425,5.128205128205128,28.93772893772894,6.95970695970696,1.465201465201465
Guerrero,4.705882352941177,13.176470588235295,32.94117647058823,5.176470588235294,6.11764705882353,31.76470588235294,4.235294117647059,1.8823529411764703
Hidalgo,1.4150943396226416,10.849056603773583,48.58490566037736,1.8867924528301887,3.30188679245283,26.88679245283019,3.7735849056603774,3.30188679245283
Jalisco,4.65587044534413,23.684210526315788,14.979757085020244,5.060728744939271,3.2388663967611335,40.48582995951417,5.870445344129554,2.0242914979757085
Michoacán,6.91358024691358,19.753086419753085,15.308641975308642,4.938271604938271,6.419753086419753,37.77777777777778,5.679012345679013,3.2098765432098766
Morelos,3.2,19.2,35.6,3.2,8.4,22.0,4.8,3.5999999999999996
Nayarit,2.1505376344086025,35.483870967741936,15.053763440860216,7.526881720430108,6.451612903225806,29.03225806451613,3.225806451612903,1.0752688172043012
Nuevo León,5.016722408026756,14.046822742474916,38.12709030100335,3.0100334448160537,5.351170568561873,33.11036789297659,1.0033444816053512,0.334448160535117
Oaxaca,2.6954177897574128,23.71967654986523,28.30188679245283,4.8517520215633425,3.7735849056603774,25.87601078167116,5.660377358490567,5.121293800539084
Puebla,2.9166666666666665,11.666666666666666,21.666666666666668,5.277777777777778,6.805555555555555,46.25,3.888888888888889,1.5277777777777777
Querétaro,3.5616438356164384,14.246575342465754,21.36986301369863,11.506849315068491,2.73972602739726,38.082191780821915,6.027397260273973,2.4657534246575343
Quintana Roo,1.477832512315271,16.25615763546798,41.87192118226601,3.940886699507389,3.4482758620689653,26.108374384236456,5.41871921182266,1.477832512315271
San Luis Potosí,5.88235294117647,37.25490196078432,23.52941176470588,5.88235294117647,0.0,19.607843137254903,7.84313725490196,0.0
Sinaloa,7.462686567164178,19.77611940298507,35.44776119402985,5.970149253731343,2.9850746268656714,19.402985074626866,7.08955223880597,1.8656716417910448
Sonora,4.597701149425287,14.559386973180075,39.08045977011494,6.513409961685824,4.21455938697318,22.988505747126435,7.2796934865900385,0.7662835249042145
Tabasco,2.702702702702702,14.414414414414416,24.324324324324326,3.603603603603604,1.8018018018018016,41.44144144144144,7.207207207207207,4.504504504504505
Tamaulipas,4.022988505747127,14.367816091954024,31.896551724137932,1.4367816091954022,5.747126436781609,27.011494252873565,11.494252873563218,4.022988505747127
Tlaxcala,2.1739130434782608,21.73913043478261,19.565217391304348,4.3478260869565215,6.521739130434782,26.08695652173913,10.869565217391305,8.695652173913043
Veracruz,1.9230769230769231,17.94871794871795,33.97435897435898,5.128205128205128,6.089743589743589,25.64102564102564,6.089743589743589,3.205128205128205
Yucatán,12.5,9.615384615384617,20.192307692307693,5.769230769230769,5.769230769230769,36.53846153846153,6.730769230769231,2.8846153846153846
Zacatecas,9.345794392523365,17.445482866043612,12.149532710280374,10.2803738317757,10.2803738317757,32.71028037383177,2.1806853582554515,5.607476635514018
